feature,importance_mean,importance_std,ci_95
EEG Fpz-Cz_dominant_freq,0.0006554155095066183,0.0011989536854121498,0.000743119193171256
EEG Fpz-Cz_range,0.0006329634787791804,0.0020734962231184705,0.0012851662738229653
EEG Fpz-Cz_abs_beta,0.0006324331488916091,0.002429633816815613,0.0015059026412959065
EOG horizontal_spectral_entropy,0.0006204230239758246,0.0025146789148496685,0.0015586141391654112
EEG Pz-Oz_rel_alpha,0.0005759307114457602,0.0030516403352523983,0.0018914262755713308
EEG Pz-Oz_abs_alpha,0.000558616062097339,0.0021021506156244257,0.001302926450299272
EEG Pz-Oz_range,0.0005534259960833122,0.0010490958408560364,0.0006502363388192626
EMG submental_max,0.0005507526013579289,0.003586895203026099,0.0022231806796993332
EMG submental_alpha_delta_ratio,0.0005469338069982288,0.0011816807529778574,0.0007324133187321941
EMG submental_rel_sigma,0.0005193751268006697,0.001192944436638619,0.0007393946221936736
EMG submental_spectral_entropy,0.00041373891913844,0.0018245149281939214,0.0011308460684219851
EEG Fpz-Cz_spindle_density,0.0003959698886567886,0.0008589735271384542,0.0005323973079270102
EOG horizontal_var,0.0003625240033133248,0.002818634652085562,0.0017470078569234626
EEG Pz-Oz_spindle_mean_duration,0.0002548184215865557,0.0005096885299556475,0.0003159082237768699
EEG Pz-Oz_slow_wave_ratio,0.00013071880062148766,0.004454030481233601,0.0027606366933487503
EOG horizontal_mean,6.192482038274161e-05,0.003217573251665428,0.001994272562684595
EEG Pz-Oz_abs_beta,4.1603849282279005e-05,0.0008230016573336449,0.0005101017120324764
EOG horizontal_dominant_freq,5.962214465948801e-06,0.0009912762146851177,0.0006143993632359843
EMG submental_hjorth_activity,0.0,0.0,0.0
EMG submental_hjorth_mobility,0.0,0.0,0.0
EMG submental_hjorth_complexity,0.0,0.0,0.0
EEG Pz-Oz_hjorth_complexity,0.0,0.0,0.0
EMG submental_dominant_freq,0.0,0.0,0.0
EEG Fpz-Cz_hjorth_complexity,0.0,0.0,0.0
EEG Pz-Oz_spindle_density,0.0,0.0,0.0
EEG Fpz-Cz_hjorth_mobility,0.0,0.0,0.0
eeg_eeg_correlation,0.0,0.0,0.0
EEG Pz-Oz_hjorth_activity,0.0,0.0,0.0
EOG horizontal_hjorth_activity,0.0,0.0,0.0
EOG horizontal_hjorth_mobility,0.0,0.0,0.0
EOG horizontal_hjorth_complexity,0.0,0.0,0.0
EEG Fpz-Cz_hjorth_activity,0.0,0.0,0.0
EEG Pz-Oz_hjorth_mobility,0.0,0.0,0.0
EEG Pz-Oz_spindle_count,-0.0001360544217686943,0.000408163265306083,0.00025298221281344586
EMG submental_rel_delta,-0.00026849071383164833,0.0017584424084488399,0.0010898938964063675
EEG Pz-Oz_sigma_delta_ratio,-0.0002960112253273084,0.0017571752527653995,0.0010891085051768666
